,fecha,hora,co_la_boca,no2_la_boca,pm10_la_boca,fecha-hora,Flujo en Sentido A,Flujo en Sentido B,HORA,TEMP,HUM,PNM,DD,FF,weekday,dia de la semana
0,1/1/2019,1,0.48,10,23,2019-01-01 01,2397,1771,1,25.9,64,1010.6,70,19,Tuesday,2
1,1/1/2019,2,0.46,11,23,2019-01-01 02,3013,2384,2,25.4,67,1010.4,70,19,Tuesday,2
2,1/1/2019,3,0.46,12,23,2019-01-01 03,2098,1835,3,24.7,71,1010.5,50,20,Tuesday,2
3,1/1/2019,4,0.46,11,24,2019-01-01 04,1165,1254,4,24.1,75,1010.2,50,17,Tuesday,2
4,1/1/2019,5,0.45,9,24,2019-01-01 05,1176,1026,5,23.7,80,1010.8,70,17,Tuesday,2
5,1/1/2019,6,0.44,8,24,2019-01-01 06,952,1000,6,23.3,81,1011,70,17,Tuesday,2
6,1/1/2019,7,0.44,9,25,2019-01-01 07,695,832,7,23.8,85,1011.2,70,15,Tuesday,2
7,1/1/2019,8,0.42,9,24,2019-01-01 08,533,597,8,24,87,1011.5,50,15,Tuesday,2
8,1/1/2019,9,0.43,8,24,2019-01-01 09,518,482,9,25.2,83,1011.4,50,13,Tuesday,2
9,1/1/2019,10,0.43,8,24,2019-01-01 10,668,569,10,26.6,78,1011,50,13,Tuesday,2
10,1/1/2019,11,0.44,5,23,2019-01-01 11,1082,1120,11,27.6,76,1010.7,50,11,Tuesday,2
11,1/1/2019,12,0.44,6,23,2019-01-01 12,1601,1796,12,27.6,78,1010.3,70,13,Tuesday,2
12,1/1/2019,13,0.44,5,23,2019-01-01 13,1746,2202,13,28.7,77,1009.6,70,13,Tuesday,2
13,1/1/2019,14,0.45,7,23,2019-01-01 14,1291,1586,14,28.5,79,1008.7,90,17,Tuesday,2
14,1/1/2019,15,0.45,7,24,2019-01-01 15,1347,1321,15,29.3,80,1008.2,90,17,Tuesday,2
15,1/1/2019,16,0.46,7,24,2019-01-01 16,1756,1574,16,30.1,76,1006.9,90,17,Tuesday,2
16,1/1/2019,17,0.46,7,24,2019-01-01 17,2124,2081,17,31,75,1006,360,13,Tuesday,2
17,1/1/2019,18,0.48,10,23,2019-01-01 18,2636,2497,18,29.2,82,1005.9,320,15,Tuesday,2
18,1/1/2019,19,0.51,12,23,2019-01-01 19,2793,2432,19,29.1,77,1005.8,340,17,Tuesday,2
19,1/1/2019,20,0.53,10,22,2019-01-01 20,2581,2490,20,28.9,81,1005.5,360,20,Tuesday,2
20,1/1/2019,21,0.54,9,22,2019-01-01 21,2414,2532,21,28.7,80,1006.5,20,13,Tuesday,2
21,1/1/2019,22,0.56,11,22,2019-01-01 22,1822,2087,22,28.7,78,1007.7,360,9,Tuesday,2
22,1/1/2019,23,0.58,10,23,2019-01-01 23,1216,1634,23,28.7,76,1007.7,360,19,Tuesday,2
23,1/1/2019,24,0.58,8,22,2019-01-01 24,,,24,25.5,72,1011,70,19,Tuesday,2
24,1/2/2019,1,0.58,10,22,2019-01-02 01,464,829,1,27.3,82,1006.7,320,15,Wednesday,3
25,1/2/2019,2,0.57,7,21,2019-01-02 02,356,525,2,26.8,82,1005.3,320,20,Wednesday,3
26,1/2/2019,3,0.55,8,21,2019-01-02 03,369,427,3,26.1,83,1005.1,320,15,Wednesday,3
27,1/2/2019,4,0.54,7,20,2019-01-02 04,731,619,4,26,83,1005.8,320,13,Wednesday,3
28,1/2/2019,5,0.54,8,20,2019-01-02 05,1869,1121,5,25.7,88,1005.8,320,11,Wednesday,3
29,1/2/2019,6,0.53,12,19,2019-01-02 06,3131,1909,6,26,85,1005.6,340,11,Wednesday,3
30,1/2/2019,7,0.54,13,19,2019-01-02 07,3982,2930,7,26.6,85,1005.6,340,15,Wednesday,3
31,1/2/2019,8,0.56,12,20,2019-01-02 08,4287,3169,8,26.8,87,1005.4,340,13,Wednesday,3
32,1/2/2019,9,0.58,12,20,2019-01-02 09,3737,3105,9,27,86,1005,360,13,Wednesday,3
33,1/2/2019,10,0.61,15,20,2019-01-02 10,3152,2988,10,28.4,83,1004.2,340,19,Wednesday,3
34,1/2/2019,11,0.64,14,20,2019-01-02 11,3100,3118,11,29,83,1003.7,360,15,Wednesday,3
35,1/2/2019,12,0.66,20,20,2019-01-02 12,2956,3410,12,29.1,84,1003,20,7,Wednesday,3
36,1/2/2019,13,0.7,26,22,2019-01-02 13,2657,3226,13,30,80,1002.3,290,13,Wednesday,3
